y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Top_degC;y_rTTan1Bot_degC;y_rTTan2Top_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.909871249607363;19.909871249607363;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.35
19.82138170523035;19.82138170523035;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.7
19.734500340792067;19.734500340792067;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.0499999999999998
19.64920205438267;19.64920205438267;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.4
19.5654731057341;19.5654731057341;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.75
19.483264918890427;19.483264918890427;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.1
19.402571514020224;19.402571514020224;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.45
19.323356432587502;19.323356432587502;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.8000000000000003
19.24560084880892;19.24560084880892;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.1500000000000004
19.16927526220894;19.16927526220894;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.5000000000000004
19.094359330525947;19.094359330525947;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.8500000000000005
19.02082611891933;19.02082611891933;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.2
18.948647707755015;18.948647707755015;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.55
18.877800325230965;18.877800325230965;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.8999999999999995
18.808258826256406;18.808258826256406;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.249999999999999
18.739999137553923;18.739999137553923;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.599999999999999
18.672995517654442;18.672995517654442;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.949999999999998
18.60722281508572;18.60722281508572;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;6.299999999999998
18.542669879591017;18.542669879591017;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;6.649999999999998
18.47930917917205;18.47930917917205;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;6.999999999999997
18.417118032098813;18.417118032098813;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;7.349999999999997
