y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Top_degC;y_rTTan1Bot_degC;y_rTTan2Top_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.474900330116668;19.474900330116668;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.35
18.958909593246005;18.958909593246005;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.7
18.451888475006115;18.451888475006115;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.0499999999999998
17.953682934759513;17.953682934759513;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.4
17.464144995036577;17.464144995036577;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.75
16.98312957996302;16.98312957996302;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.1
16.51047961241494;16.51047961241494;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.45
16.046043222744743;16.046043222744743;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.8000000000000003
15.58966507279905;15.58966507279905;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.1500000000000004
15.141210354244606;15.141210354244606;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.5000000000000004
14.70053292821683;14.70053292821683;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.8500000000000005
14.267500421000136;14.267500421000136;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.2
13.841978044288396;13.841978044288396;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.55
13.42383092082099;13.42383092082099;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.8999999999999995
13.012929819071928;13.012929819071928;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.249999999999999
12.609142471978487;12.609142471978487;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.599999999999999
12.21235158578503;12.21235158578503;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.949999999999998
