y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
-0.0801495271808968;-0.0801495271808968;20.0;20.0;0.0;0.0;0.0;0.0;10
-0.15976151747607809;-0.15976151747607809;20.0;20.0;0.0;0.0;0.0;0.0;20
-0.23883951096768466;-0.23883951096768466;20.0;20.0;0.0;0.0;0.0;0.0;30
-0.31738712580898554;-0.31738712580898554;20.0;20.0;0.0;0.0;0.0;0.0;40
-0.395407955077147;-0.395407955077147;20.0;20.0;0.0;0.0;0.0;0.0;50
-0.47290556694499847;-0.47290556694499847;20.0;20.0;0.0;0.0;0.0;0.0;60
-0.5498835048516321;-0.5498835048516321;20.0;20.0;0.0;0.0;0.0;0.0;70
-0.6263452876718035;-0.6263452876718035;20.0;20.0;0.0;0.0;0.0;0.0;80
-0.7022944098842183;-0.7022944098842183;20.0;20.0;0.0;0.0;0.0;0.0;90
-0.7777343417386432;-0.7777343417386432;20.0;20.0;0.0;0.0;0.0;0.0;100
-0.8526685294218586;-0.8526685294218586;20.0;20.0;0.0;0.0;0.0;0.0;110
-0.9271003952224974;-0.9271003952224974;20.0;20.0;0.0;0.0;0.0;0.0;120
-1.0010333376947336;-1.0010333376947336;20.0;20.0;0.0;0.0;0.0;0.0;130
-1.0744707318208657;-1.0744707318208657;20.0;20.0;0.0;0.0;0.0;0.0;140
-1.1474159291728288;-1.1474159291728288;20.0;20.0;0.0;0.0;0.0;0.0;150
-1.2198722580724568;-1.2198722580724568;20.0;20.0;0.0;0.0;0.0;0.0;160
-1.2918430237508176;-1.2918430237508176;20.0;20.0;0.0;0.0;0.0;0.0;170
-1.3633315085063595;-1.3633315085063595;20.0;20.0;0.0;0.0;0.0;0.0;180
-1.4343409718619997;-1.4343409718619997;20.0;20.0;0.0;0.0;0.0;0.0;190
-1.5048746507211328;-1.5048746507211328;20.0;20.0;0.0;0.0;0.0;0.0;200
-1.574935759522584;-1.574935759522584;20.0;20.0;0.0;0.0;0.0;0.0;210
-1.6445274903944673;-1.6445274903944673;20.0;20.0;0.0;0.0;0.0;0.0;220
-1.7136530133070313;-1.7136530133070313;20.0;20.0;0.0;0.0;0.0;0.0;230
