y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
1.06573037513865;1.06573037513865;55.0;35.0;0.0;0.0;0.0;0.0;10
2.112579853094922;2.112579853094922;55.0;35.0;0.0;0.0;0.0;0.0;20
3.1408828437420127;3.1408828437420127;55.0;35.0;0.0;0.0;0.0;0.0;30
4.150968069398258;4.150968069398258;55.0;35.0;0.0;0.0;0.0;0.0;40
5.1431584393173395;5.1431584393173395;55.0;35.0;0.0;0.0;0.0;0.0;50
6.117771152454565;6.117771152454565;55.0;35.0;0.0;0.0;0.0;0.0;60
7.075117798416071;7.075117798416071;55.0;35.0;0.0;0.0;0.0;0.0;70
8.01550445662352;8.01550445662352;55.0;35.0;0.0;0.0;0.0;0.0;80
8.93923179372549;8.93923179372549;55.0;35.0;0.0;0.0;0.0;0.0;90
9.846595159287638;9.846595159287638;55.0;35.0;0.0;0.0;0.0;0.0;100
10.737884679790158;10.737884679790158;55.0;35.0;0.0;0.0;0.0;0.0;110
11.613385350964057;11.613385350964057;55.0;35.0;0.0;0.0;0.0;0.0;120
12.47337712849488;12.47337712849488;55.0;35.0;0.0;0.0;0.0;0.0;130
13.318135017122906;13.318135017122906;55.0;35.0;0.0;0.0;0.0;0.0;140
14.147929158168695;14.147929158168695;55.0;35.0;0.0;0.0;0.0;0.0;150
14.963024915510353;14.963024915510353;55.0;35.0;0.0;0.0;0.0;0.0;160
15.763682960041523;15.763682960041523;55.0;35.0;0.0;0.0;0.0;0.0;170
16.55015935263648;16.55015935263648;55.0;35.0;0.0;0.0;0.0;0.0;180
17.322705625647316;17.322705625647316;55.0;35.0;0.0;0.0;0.0;0.0;190
18.08156886296177;18.08156886296177;55.0;35.0;0.0;0.0;0.0;0.0;200
18.82699177864528;18.82699177864528;55.0;35.0;0.0;0.0;0.0;0.0;210
19.559212794192593;19.559212794192593;55.0;35.0;0.0;0.0;0.0;0.0;220
20.278466114413693;20.278466114413693;55.0;35.0;0.0;0.0;0.0;0.0;230
20.98498180197838;20.98498180197838;55.0;35.0;0.0;0.0;0.0;0.0;240
21.678985850642704;21.678985850642704;55.0;35.0;0.0;0.0;0.0;0.0;250
22.360700257181342;22.360700257181342;55.0;35.0;0.0;0.0;0.0;0.0;260
23.030343092047534;23.030343092047534;55.0;35.0;0.0;0.0;0.0;0.0;270
23.688128568784258;23.688128568784258;55.0;35.0;0.0;0.0;0.0;0.0;280
24.334267112209485;24.334267112209485;55.0;35.0;0.0;0.0;0.0;0.0;290
24.968965425393804;24.968965425393804;55.0;35.0;0.0;0.0;0.0;0.0;300
25.592426555455525;25.592426555455525;55.0;35.0;0.0;0.0;0.0;0.0;310
26.204849958192128;26.204849958192128;55.0;35.0;0.0;0.0;0.0;0.0;320
26.806431561569234;26.806431561569234;55.0;35.0;0.0;0.0;0.0;0.0;330
27.397363828087116;27.397363828087116;55.0;35.0;0.0;0.0;0.0;0.0;340
27.977835816044742;27.977835816044742;55.0;35.0;0.0;0.0;0.0;0.0;350
28.548033239720624;28.548033239720624;55.0;35.0;0.0;0.0;0.0;0.0;360
29.10813852848991;29.10813852848991;55.0;35.0;0.0;0.0;0.0;0.0;370
29.65833088489625;29.65833088489625;55.0;35.0;0.0;0.0;0.0;0.0;380
30.198786341697186;30.198786341697186;55.0;35.0;0.0;0.0;0.0;0.0;390
30.729677817900953;30.729677817900953;55.0;35.0;0.0;0.0;0.0;0.0;400
31.25117517381249;31.25117517381249;55.0;35.0;0.0;0.0;0.0;0.0;410
31.76344526510671;31.76344526510671;55.0;35.0;0.0;0.0;0.0;0.0;420
32.266651995945544;32.266651995945544;55.0;35.0;0.0;0.0;0.0;0.0;430
32.76095637115582;32.76095637115582;55.0;35.0;0.0;0.0;0.0;0.0;440
33.24651654748528;33.24651654748528;55.0;35.0;0.0;0.0;0.0;0.0;450
33.7234878839516;33.7234878839516;55.0;35.0;0.0;0.0;0.0;0.0;460
34.19202299130241;34.19202299130241;55.0;35.0;0.0;0.0;0.0;0.0;470
34.65227178059988;34.65227178059988;55.0;35.0;0.0;0.0;0.0;0.0;480
35.10438151094694;35.10438151094694;55.0;35.0;0.0;0.0;0.0;0.0;490
35.548496836369836;35.548496836369836;55.0;35.0;0.0;0.0;0.0;0.0;500
35.984759851871615;35.984759851871615;55.0;35.0;0.0;0.0;0.0;0.0;510
36.41331013867118;36.41331013867118;55.0;35.0;0.0;0.0;0.0;0.0;520
36.834284808644625;36.834284808644625;55.0;35.0;0.0;0.0;0.0;0.0;530
37.2478185479771;37.2478185479771;55.0;35.0;0.0;0.0;0.0;0.0;540
37.654043660045986;37.654043660045986;55.0;35.0;0.0;0.0;0.0;0.0;550
38.05309010754543;38.05309010754543;55.0;35.0;0.0;0.0;0.0;0.0;560
38.44508555386556;38.44508555386556;55.0;35.0;0.0;0.0;0.0;0.0;570
38.83015540374066;38.83015540374066;55.0;35.0;0.0;0.0;0.0;0.0;580
39.20842284317846;39.20842284317846;55.0;35.0;0.0;0.0;0.0;0.0;590
39.58000887868345;39.58000887868345;55.0;35.0;0.0;0.0;0.0;0.0;600
39.94503237578736;39.94503237578736;55.0;35.0;0.0;0.0;0.0;0.0;610
40.303610096897934;40.303610096897934;55.0;35.0;0.14554175734519958;0.14554175734519958;0.0;1.0;620
