y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Top_degC;y_rTTan1Bot_degC;y_rTTan2Top_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
25.251245878280315;19.334673693607385;20.054741564764186;20.00070075301886;20.00000000000381;20.00000000000375;0.10000000149011612;0.0;1.0;0.0;596.0500000000192
25.24540331025497;19.353468173654278;20.058801084516176;20.000768197814068;20.000000000004206;20.000000000004206;0.10000000149011612;0.0;1.0;0.0;596.4000000000192
25.244912367687846;19.371879248542825;20.062941125049633;20.000839396081744;20.00000000000466;20.000000000004604;0.10000000149011612;0.0;1.0;0.0;596.7500000000192
25.249528739173797;19.389880094547777;20.06715453848426;20.000914397674137;20.000000000005116;20.00000000000506;0.10000000149011612;0.0;1.0;0.0;597.1000000000192
25.258977656482443;19.407457031927436;20.071433393551956;20.000993250660258;20.000000000005627;20.00000000000557;0.10000000149011612;0.0;1.0;0.0;597.4500000000193
25.272944693412228;19.42461341072311;20.075777546377594;20.001076000010414;20.00000000000614;20.000000000006082;0.10000000149011612;0.0;1.0;0.0;597.8000000000193
25.29107981131159;19.441368024327232;20.080183544633087;20.001162685847703;20.000000000006708;20.000000000006594;0.10000000149011612;0.0;1.0;0.0;598.1500000000193
25.31299604724984;19.45775602358418;20.084646327279927;20.001253345058785;20.000000000007276;20.000000000007162;0.10000000149011612;0.0;1.0;0.0;598.5000000000193
25.338270157511147;19.473828868325427;20.089162451521076;20.001348012477365;20.0000000000079;20.00000000000773;0.10000000149011612;0.0;1.0;0.0;598.8500000000193
25.36644176427751;19.48965488092324;20.093724332886325;20.001446722801347;20.000000000008527;20.000000000008356;0.10000000149011612;0.0;1.0;0.0;599.2000000000194
25.397012431660357;19.505319821272167;20.09833609652469;20.00154950771889;20.00000000000921;20.000000000009038;0.10000000149011612;0.0;1.0;0.0;599.5500000000194
25.429441848264503;19.52092885138171;20.102977638045104;20.001656402290735;20.00000000000989;20.00000000000972;0.10000000149011612;0.0;1.0;0.0;599.9000000000194
25.463165801228683;19.53660105844517;20.1076674033597;20.00176743537679;20.00000000001063;20.000000000010402;0.10000000149011612;0.0;1.0;0.0;600.2500000000194
25.497702133694986;19.55244103257087;20.112399613002196;20.00188263280694;20.00000000001137;20.00000000001114;0.10000000149011612;0.0;1.0;0.0;600.6000000000195
25.532859175240674;19.56848533119262;20.11717205600712;20.00200201727131;20.000000000012164;20.00000000001188;0.10000000149011612;0.0;1.0;0.0;600.9500000000195
25.56856731338121;19.584740980801143;20.121977738274325;20.00212561274367;20.00000000001296;20.000000000012676;0.10000000149011612;0.0;1.0;0.0;601.3000000000195
25.604822927289376;19.601199443169662;20.12681963623129;20.00225344275202;20.000000000013813;20.00000000001353;0.10000000149011612;0.0;1.0;0.0;601.6500000000195
25.64161893290543;19.617853262309836;20.13169333450844;20.002385529796356;20.000000000014722;20.00000000001438;0.10000000149011612;0.0;1.0;0.0;602.0000000000196
25.678936580213644;19.63469819475921;20.136595942287215;20.002521897375857;20.000000000015632;20.000000000015234;0.10000000149011612;0.0;1.0;0.0;602.3500000000196
25.716751651207517;19.651731764379917;20.141527736472824;20.002662568883636;20.0000000000166;20.000000000016144;0.10000000149011612;0.0;1.0;0.0;602.7000000000196
25.755044069906035;19.668950939860906;20.146488165427343;20.0028075666051;20.000000000017565;20.00000000001711;0.10000000149011612;0.0;1.0;0.0;603.0500000000196
25.79379584139741;19.686352635354353;20.1514768403444;20.00295691191934;20.000000000018588;20.000000000018076;0.10000000149011612;0.0;1.0;0.0;603.4000000000196
25.832982386254628;19.70393577324728;20.156494915955363;20.003110625506224;20.00000000001961;20.0000000000191;0.10000000149011612;0.0;1.0;0.0;603.7500000000197
25.872582140886607;19.72169899553694;20.161543416222628;20.00326872706563;20.00000000002069;20.000000000020123;0.10000000149011612;0.0;1.0;0.0;604.1000000000197
25.912584029219488;19.739638696980364;20.166620362115168;20.003431235947573;20.000000000021828;20.000000000021203;0.10000000149011612;0.0;1.0;0.0;604.4500000000197
25.952975676805124;19.757752027148683;20.171724457451035;20.00359817062224;20.000000000022965;20.000000000022283;0.10000000149011612;0.0;1.0;0.0;604.8000000000197
25.9937436021155;19.77603659225815;20.17685569225523;20.00376955083283;20.00000000002416;20.00000000002342;0.10000000149011612;0.0;1.0;0.0;605.1500000000198
26.034877204072757;19.794489647543344;20.18201359438916;20.00394539600478;20.000000000025352;20.000000000024556;0.10000000149011612;0.0;1.0;0.0;605.5000000000198
26.07636615168451;19.81310860392881;20.187197943671947;20.004125725817744;20.000000000026603;20.00000000002575;0.10000000149011612;0.0;1.0;0.0;605.8500000000198
26.118200210926886;19.831891057844302;20.192409073142755;20.004310560605347;20.00000000002791;20.000000000027;0.10000000149011612;0.0;1.0;0.0;606.2000000000198
26.16037054439863;19.850834544853228;20.19764701245458;20.004499920309343;20.000000000029218;20.00000000002825;0.10000000149011612;0.0;1.0;0.0;606.5500000000198
26.202867883602096;19.869936852647356;20.202912039486705;20.004693825157858;20.00000000003058;20.00000000002956;0.10000000149011612;0.0;1.0;0.0;606.9000000000199
26.245684279114187;19.88919571466306;20.208204446054026;20.00489229548043;20.000000000032003;20.000000000030866;0.10000000149011612;0.0;1.0;0.0;607.2500000000199
26.288812082474692;19.90860892925167;20.213524240931804;20.005095351453747;20.000000000033424;20.00000000003223;0.10000000149011612;0.0;1.0;0.0;607.6000000000199
26.332244246180835;19.92817438841422;20.218871768853376;20.005303013648813;20.000000000034902;20.000000000033594;0.10000000149011612;0.0;1.0;0.0;607.9500000000199
26.375974392547107;19.94788993401437;20.224247256611363;20.005515302955814;20.00000000003638;20.000000000035016;0.10000000149011612;0.0;1.0;0.0;608.30000000002
26.419996706262566;19.96775347578574;20.229650955260013;20.005732240358384;20.00000000003797;20.000000000036493;0.10000000149011612;0.0;1.0;0.0;608.65000000002
26.464306026134352;19.98776290639887;20.235083102952956;20.00595384717758;20.000000000039563;20.00000000003797;0.10000000149011612;0.0;1.0;0.0;609.00000000002
26.508897587021238;20.00791615905564;20.24054392355248;20.006180144938355;20.000000000041155;20.000000000039506;0.10000000149011612;0.0;1.0;0.0;609.35000000002
26.553765869217784;20.0282114457479;20.246033609599635;20.006411154832506;20.000000000042803;20.00000000004104;0.10000000149011612;0.0;1.0;0.0;609.70000000002
26.598907119085652;20.048646702596557;20.251552340510045;20.0066468989952;20.00000000004451;20.000000000042633;0.10000000149011612;0.0;1.0;0.0;610.0500000000201
26.644317431307513;20.069219993795627;20.25710025818387;20.006887399588948;20.00000000004627;20.00000000004428;0.10000000149011612;0.0;1.0;0.0;610.4000000000201
26.689993195850718;20.089929407671946;20.262677489923874;20.007132679079916;20.000000000048033;20.00000000004593;0.10000000149011612;0.0;1.0;0.0;610.7500000000201
26.735931650929956;20.11077306773251;20.2682853643542;20.007382761762415;20.00000000004985;20.000000000047635;0.10000000149011612;0.0;1.0;0.0;611.1000000000201
26.78212968188302;20.13174910501607;20.273924000838463;20.00763767079735;20.000000000051728;20.00000000004934;0.10000000149011612;0.0;1.0;0.0;611.4500000000202
26.828584632492834;20.152855674839998;20.279594059544934;20.007897430397065;20.000000000053603;20.000000000051102;0.10000000149011612;0.0;1.0;0.0;611.8000000000202
26.875294067159075;20.174090950402615;20.285296322438683;20.008162065327383;20.000000000055536;20.00000000005292;0.10000000149011612;0.0;1.0;0.0;612.1500000000202
26.922255325041647;20.195453339593428;20.291030281320673;20.00843159864479;20.000000000057526;20.00000000005474;0.10000000149011612;0.0;1.0;0.0;612.5000000000202
26.96946619040574;20.21694111737412;20.296796538471938;20.008706055583843;20.000000000059515;20.000000000056616;0.10000000149011612;0.0;1.0;0.0;612.8500000000203
27.016924522300712;20.238552603039636;20.302595652699438;20.00898546171061;20.00000000006162;20.000000000058492;0.10000000149011612;0.0;1.0;0.0;613.2000000000203
27.064628177731606;20.260286183809455;20.308427987863524;20.009269842693413;20.000000000063665;20.000000000060425;0.10000000149011612;0.0;1.0;0.0;613.5500000000203
27.11257579681279;20.28214022657329;20.314294055780636;20.009559224020904;20.000000000065825;20.000000000062414;0.10000000149011612;0.0;1.0;0.0;613.9000000000203
27.160765891272945;20.30411315240366;20.32019430014242;20.009853631634883;20.00000000006804;20.00000000006446;0.10000000149011612;0.0;1.0;0.0;614.2500000000203
27.209196577979867;20.32620345733244;20.32612903417555;20.01015309210061;20.00000000007026;20.000000000066507;0.10000000149011612;0.0;1.0;0.0;614.6000000000204
27.257866276821176;20.348409652787154;20.332098608158617;20.010457632084524;20.000000000072532;20.000000000068553;0.10000000149011612;0.0;1.0;0.0;614.9500000000204
27.30677385463639;20.370730234679115;20.338103419596848;20.010767278726348;20.000000000074863;20.000000000070713;0.10000000149011612;0.0;1.0;0.0;615.3000000000204
27.355918551881587;20.393163690305926;20.34414390012364;20.01108205960793;20.000000000077193;20.000000000072873;0.10000000149011612;0.0;1.0;0.0;615.6500000000204
27.405298983675664;20.41570862115941;20.35022033788357;20.011402002283944;20.000000000079638;20.000000000075033;0.10000000149011612;0.0;1.0;0.0;616.0000000000205
27.454914142800533;20.43836361505072;20.35633305574038;20.011727134759212;20.000000000082082;20.000000000077307;0.10000000149011612;0.0;1.0;0.0;616.3500000000205
27.50476313553412;20.461127281396955;20.362482437400388;20.012057485413607;20.000000000084583;20.00000000007958;0.10000000149011612;0.0;1.0;0.0;616.7000000000205
27.554845260493323;20.483998249264744;20.36866910750581;20.01239308314939;20.000000000087084;20.00000000008191;0.10000000149011612;0.0;1.0;0.0;617.0500000000205
27.605159723548297;20.506975168598956;20.374893356388952;20.01273395692249;20.0000000000897;20.000000000084242;0.10000000149011612;0.0;1.0;0.0;617.4000000000206
27.655705859999898;20.53005670701134;20.38115561765835;20.013080136131975;20.000000000092314;20.00000000008663;0.10000000149011612;0.0;1.0;0.0;617.7500000000206
27.70648305741537;20.553241553436123;20.38745632425747;20.013431650493317;20.000000000095042;20.000000000089074;0.10000000149011612;0.0;1.0;0.0;618.1000000000206
27.757490604997997;20.57652848415694;20.393795608572702;20.013788529640863;20.00000000009777;20.000000000091518;0.10000000149011612;0.0;1.0;0.0;618.4500000000206
27.808728000026917;20.59991621532646;20.400173962979864;20.014150803999996;20.0000000001005;20.00000000009402;0.10000000149011612;0.0;1.0;0.0;618.8000000000206
27.860194705078698;20.623403512037953;20.406591746320714;20.014518504133605;20.00000000010334;20.000000000096577;0.10000000149011612;0.0;1.0;0.0;619.1500000000207
27.91189019933205;20.646989160023907;20.413049308336895;20.014891660905676;20.00000000010624;20.00000000009919;0.10000000149011612;0.0;1.0;0.0;619.5000000000207
27.963814067780675;20.67067199700449;20.41954706456653;20.015270305031777;20.00000000010914;20.000000000101807;0.10000000149011612;0.0;1.0;0.0;619.8500000000207
28.01596581597414;20.694450854797708;20.426085357649526;20.015654467886122;20.000000000112152;20.000000000104478;0.10000000149011612;0.0;1.0;0.0;620.2000000000207
28.068344965954225;20.718324592853776;20.432664537457015;20.016044181021414;20.000000000115165;20.000000000107207;0.10000000149011612;0.0;1.0;0.0;620.5500000000208
28.120951041942533;20.742292095945288;20.439284955426047;20.016439476193057;20.000000000118234;20.000000000109935;0.10000000149011612;0.0;1.0;0.0;620.9000000000208
28.17378377023698;20.766352257964854;20.44594686928889;20.016840385517582;20.00000000012136;20.00000000011272;0.10000000149011612;0.0;1.0;0.0;621.2500000000208
28.22684278865313;20.790504000167232;20.452650561055066;20.01724694128933;20.000000000124544;20.000000000115563;0.10000000149011612;0.0;1.0;0.0;621.6000000000208
28.28012765472107;20.814746270155638;20.459396330388017;20.017659175982374;20.000000000127784;20.00000000011846;0.10000000149011612;0.0;1.0;0.0;621.9500000000209
28.333637983232848;20.839078032531745;20.466184434031675;20.018077122332215;20.00000000013108;20.00000000012136;0.10000000149011612;0.0;1.0;0.0;622.3000000000209
28.387373479368193;20.86349826161853;20.473015252892083;20.018500813398987;20.000000000134378;20.000000000124317;0.10000000149011612;0.0;1.0;0.0;622.6500000000209
28.441333890743465;20.888005946294015;20.47988922074768;20.018930282512827;20.00000000013779;20.00000000012733;0.10000000149011612;0.0;1.0;0.0;623.0000000000209
28.49551885265106;20.91260010708811;20.486806584836927;20.019365563098745;20.000000000141256;20.0000000001304;0.10000000149011612;0.0;1.0;0.0;623.3500000000209
28.549928062790002;20.937279775448644;20.4937676850775;20.019806688870915;20.000000000144723;20.00000000013347;0.10000000149011612;0.0;1.0;0.0;623.700000000021
28.604561228036573;20.96204400018064;20.500772794025238;20.020253693801294;20.000000000148304;20.000000000136595;0.10000000149011612;0.0;1.0;0.0;624.050000000021
28.659418064682768;20.986891848079892;20.507822014171495;20.020706612157994;20.000000000151886;20.000000000139778;0.10000000149011612;0.0;1.0;0.0;624.400000000021
28.714498290386473;21.011822398902154;20.51491569456772;20.021165478337934;20.00000000015558;20.000000000143018;0.10000000149011612;0.0;1.0;0.0;624.750000000021
28.769801628511857;21.036834748799436;20.522054071146215;20.021630327006847;20.000000000159332;20.000000000146258;0.10000000149011612;0.0;1.0;0.0;625.100000000021
28.825327801348863;21.061928010359168;20.529237400382726;20.022101193027254;20.000000000163084;20.000000000149612;0.10000000149011612;0.0;1.0;0.0;625.4500000000211
28.88107649727283;21.087101325010394;20.53646626496186;20.02257811119432;20.00000000016695;20.000000000152966;0.10000000149011612;0.0;1.0;0.0;625.8000000000211
28.937047442587243;21.11235383258378;20.543740857721787;20.02306111684402;20.000000000170814;20.000000000156376;0.10000000149011612;0.0;1.0;0.0;626.1500000000211
28.993240343689877;21.13768469394745;20.551061531256437;20.023550245381216;20.000000000174794;20.000000000159787;0.10000000149011612;0.0;1.0;0.0;626.5000000000211
29.049654899704763;21.163093084801744;20.558428659766093;20.02404553239478;20.00000000017883;20.00000000016331;0.10000000149011612;0.0;1.0;0.0;626.8500000000212
29.106290834633967;21.188578202618658;20.56584199232873;20.024547013900587;20.000000000182865;20.000000000166835;0.10000000149011612;0.0;1.0;0.0;627.2000000000212
29.163147830611706;21.21413925251477;20.57330189765304;20.02505472586097;20.000000000187015;20.000000000170417;0.10000000149011612;0.0;1.0;0.0;627.5500000000212
29.22022556941198;21.239775456183395;20.58080853841699;20.025568704496322;20.00000000019122;20.000000000174055;0.10000000149011612;0.0;1.0;0.0;627.9000000000212
29.277523723402567;21.265486050058485;20.588362012468565;20.02608898622691;20.000000000195485;20.00000000017775;0.10000000149011612;0.0;1.0;0.0;628.2500000000213
29.335042005778064;21.291270282623373;20.59596311380875;20.02661560745065;20.000000000199805;20.000000000181444;0.10000000149011612;0.0;1.0;0.0;628.6000000000213
29.39278009085109;21.317127417476684;20.603612229959936;20.027148604852187;20.00000000020418;20.000000000185253;0.10000000149011612;0.0;1.0;0.0;628.9500000000213
29.450737633498875;21.343056732242474;20.61130963051164;20.027688015317437;20.000000000208615;20.00000000018906;0.10000000149011612;0.0;1.0;0.0;629.3000000000213
29.508914290865278;21.36905751738641;20.619055787321713;20.028233875838623;20.000000000213163;20.000000000192927;0.10000000149011612;0.0;1.0;0.0;629.6500000000214
29.567309926756252;21.39512929400621;20.626850418889944;20.028786223874306;20.000000000217767;20.00000000019685;0.10000000149011612;0.0;1.0;0.0;630.0000000000214
29.625924402771886;21.421271599243312;20.63469323746665;20.029345097081716;20.00000000022237;20.000000000200828;0.10000000149011612;0.0;1.0;0.0;630.3500000000214
29.68475737093422;21.4474837793324;20.64258475817701;20.029910532976885;20.00000000022709;20.000000000204864;0.10000000149011612;0.0;1.0;0.0;630.7000000000214
29.743808598870544;21.473765318378923;20.650525077203895;20.03048256941588;20.000000000231864;20.0000000002089;0.10000000149011612;0.0;1.0;0.0;631.0500000000214
