y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
-0.0595946680984478;-0.0595946680984478;20.0;19.530002828262347;0.0;0.0;0.0;0.0;10
-0.11878206591518224;-0.11878206591518224;20.0;19.530005656476398;0.0;0.0;0.0;0.0;20
-0.17756497002565141;-0.17756497002565141;20.0;19.530008484642146;0.0;0.0;0.0;0.0;30
-0.23594614278386292;-0.23594614278386292;20.0;19.530011312759616;0.0;0.0;0.0;0.0;40
-0.29392832764838267;-0.29392832764838267;20.0;19.530014140828815;0.0;0.0;0.0;0.0;50
-0.3515142493117645;-0.3515142493117645;20.0;19.53001696884973;0.0;0.0;0.0;0.0;60
-0.4087066138291042;-0.4087066138291042;20.0;19.530019796822348;0.0;0.0;0.0;0.0;70
-0.4655081087456812;-0.4655081087456812;20.0;19.5300226247467;0.0;0.0;0.0;0.0;80
-0.5219214032237711;-0.5219214032237711;20.0;19.530025452622777;0.0;0.0;0.0;0.0;90
-0.5779491481685671;-0.5779491481685671;20.0;19.530028280450583;0.0;0.0;0.0;0.0;100
-0.6335939763532294;-0.6335939763532294;20.0;19.530031108230084;0.0;0.0;0.0;0.0;110
-0.6888585025430931;-0.6888585025430931;20.0;19.53003393596131;0.0;0.0;0.0;0.0;120
-0.7437453236190117;-0.7437453236190117;20.0;19.53003676364427;0.0;0.0;0.0;0.0;130
-0.7982570186998688;-0.7982570186998688;20.0;19.530039591278957;0.0;0.0;0.0;0.0;140
-0.8523961492642869;-0.8523961492642869;20.0;19.53004241886537;0.0;0.0;0.0;0.0;150
-0.9061652592713757;-0.9061652592713757;20.0;19.530045246403517;0.0;0.0;0.0;0.0;160
-0.9595668752808046;-0.9595668752808046;20.0;19.530048073893393;0.0;0.0;0.0;0.0;170
-1.0126035065719685;-1.0126035065719685;20.0;19.530050901334995;0.0;0.0;0.0;0.0;180
-1.0652776452623571;-1.0652776452623571;20.0;19.53005372872833;0.0;0.0;0.0;0.0;190
