y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Bot_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
0.9185508035907656;0.9185508035907656;5.764600637532694;5.764600637532694;0.0;0.0;0.0;0.0;10
1.8214438436105471;1.8214438436105471;5.767458513604751;5.767458513604751;0.0;0.0;0.0;0.0;20
2.705187607900328;2.705187607900328;5.76982713067974;5.76982713067974;0.0;0.0;0.0;0.0;30
3.566341269899658;3.566341269899658;5.771804197708925;5.771804197708925;0.0;0.0;0.0;0.0;40
4.401506718255904;4.401506718255904;5.773464573414023;5.773464573414023;0.0;0.0;0.0;0.0;50
5.207327202257471;5.207327202257471;5.774866486820637;5.774866486820637;0.0;0.0;0.0;0.0;60
5.978818339497944;5.978818339497944;5.776055822921842;5.776055822921842;0.0;0.0;0.0;0.0;70
6.706456853461518;6.706456853461518;5.777069147563155;5.777069147563155;0.0;0.0;0.0;0.0;80
7.384755392815962;7.384755392815962;5.77793588595792;5.77793588595792;0.0;0.0;0.0;0.0;90
8.014266000579338;8.014266000579338;5.778679919855321;5.778679919855321;0.0;0.0;0.0;0.0;100
8.601388701870237;8.601388701870237;5.779320777307703;5.779320777307703;0.0;0.0;0.0;0.0;110
9.158186158255711;9.158186158255711;5.7798745317485745;5.7798745317485745;0.0;0.0;0.0;0.0;120
9.698698407639244;9.698698407639244;5.780354490239153;5.780354490239153;0.0;0.0;0.0;0.0;130
10.226504783825192;10.226504783825192;5.78077172650548;5.78077172650548;0.0;0.0;0.0;0.0;140
10.742090887327894;10.742090887327894;5.781135498143057;5.781135498143057;0.0;0.0;0.0;0.0;150
11.245910187775612;11.245910187775612;5.781453576287821;5.781453576287821;0.0;0.0;0.0;0.0;160
11.738385041684037;11.738385041684037;5.78173250837309;5.78173250837309;0.0;0.0;0.0;0.0;170
12.219907677990204;12.219907677990204;5.781977829192308;5.781977829192308;0.0;0.0;0.0;0.0;180
12.69084115236633;12.69084115236633;5.782194231636703;5.782194231636703;0.0;0.0;0.0;0.0;190
13.15152027130466;13.15152027130466;5.782385705695192;5.782385705695192;0.0;0.0;0.0;0.0;200
13.602252486931077;13.602252486931077;5.782555652270693;5.782555652270693;0.0;0.0;0.0;0.0;210
14.043318763475117;14.043318763475117;5.782706976863532;5.782706976863532;0.0;0.0;0.0;0.0;220
14.47497441629517;14.47497441629517;5.782842167048984;5.782842167048984;0.0;0.0;0.0;0.0;230
14.89744992432787;14.89744992432787;5.782963356828261;5.782963356828261;0.0;0.0;0.0;0.0;240
15.310951716804054;15.310951716804054;5.7830723802860104;5.7830723802860104;0.0;0.0;0.0;0.0;250
15.71566293504898;15.71566293504898;5.783170816490726;5.783170816490726;0.0;0.0;0.0;0.0;260
16.11174417015283;16.11174417015283;5.7832600271895345;5.7832600271895345;0.0;0.0;0.0;0.0;270
16.499334177279696;16.499334177279696;5.78334118854779;5.78334118854779;0.0;0.0;0.0;0.0;280
16.87855056735366;16.87855056735366;5.783415317947459;5.783415317947459;0.0;0.0;0.0;0.0;290
17.249490476837817;17.249490476837817;5.783483296670369;5.783483296670369;0.0;0.0;0.0;0.0;300
17.61223121630483;17.61223121630483;5.783545889142903;5.783545889142903;0.0;0.0;0.0;0.0;310
17.966830898466696;17.966830898466696;5.783603759298617;5.783603759298617;0.0;0.0;0.0;0.0;320
18.313329046316756;18.313329046316756;5.783657484518238;5.783657484518238;0.0;0.0;0.0;0.0;330
18.651747182014518;18.651747182014518;5.783707567527999;5.783707567527999;0.0;0.0;0.0;0.0;340
18.98208939712278;18.98208939712278;5.783754446573201;5.783754446573201;0.0;0.0;0.0;0.0;350
19.304342904788662;19.304342904788662;5.783798504131493;5.783798504131493;0.0;0.0;0.0;0.0;360
19.618433249132615;19.618433249132615;5.783840074386995;5.783840074386995;0.0;0.0;0.0;0.0;370
19.92410669000107;19.92410669000107;5.783879449651131;5.783879449651131;0.0;0.0;0.0;0.0;380
