y_rTCol1Top_degC;y_rTCol2Top_degC;y_rTTan1Top_degC;y_rTTan1Bot_degC;y_rTTan2Top_degC;y_rTTan2Bot_degC;u_rPump1Speed;u_rPump2Speed;u_rVal1Pos;u_rVal2Pos;time
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.439605335283773;19.439605335283773;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.35
18.88906173197512;18.88906173197512;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;0.7
18.34821839913218;18.34821839913218;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.0499999999999998
17.816908604802563;17.816908604802563;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.4
17.294972179091246;17.294972179091246;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;1.75
16.78225209668625;16.78225209668625;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.1
16.278578339016235;16.278578339016235;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.45
15.783786525143455;15.783786525143455;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;2.8000000000000003
15.297708520433787;15.297708520433787;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.1500000000000004
14.820198059380687;14.820198059380687;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.5000000000000004
14.351096811489072;14.351096811489072;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;3.8500000000000005
13.89026265740955;13.89026265740955;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.2
13.43754881321729;13.43754881321729;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.55
12.992810076220735;12.992810076220735;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;4.8999999999999995
12.55590473826635;12.55590473826635;20.0;20.0;20.0;20.0;0.0;0.0;0.0;0.0;5.249999999999999
